20,412,95,Jul 22(2),BOS,,BAL,"W,4-0",GS-7,W(6-6),4,7.0,8,0,0,0,4,0,0,4.17,28,108,79,19,9,10,14,1,5,0,65,,,0,0,0,28,0,0,0,0,0,0,.89,0.317,1.49,0.32%,4.16, 1t start tie, 7t 3 out a4
21,413,104,Aug 2,BOS,@,TBD,"W,6-3",GS-7,W(7-6),10,7.0,4,3,3,4,3,1,0,4.15,29,108,62,16,8,11,11,2,2,0,56,,,2,0,0,25,0,0,0,0,0,0,.93,0.145,1.64,0.15%,0.77, 1b start tie, 7b 3 out a3
22,414,109,Aug 8,BOS,@,DET,"W,11-9",GS-5,W(8-6),5,5.0,8,7,7,0,2,6,0,4.48,23,79,56,18,6,10,11,4,0,0,25,,,0,0,0,23,0,0,0,0,0,0,.68,-0.434,1.27,-0.48%,-4.36, 1b start tie, 5b 3 out a3
23,415,114,Aug 13,BOS,,CHW,"L,7-8",GS-7,L(8-7),4,6.1,6,6,6,1,3,2,0,4.67,26,101,70,23,6,9,13,3,4,0,39,,,0,0,0,25,2,0,0,0,0,0,.99,-0.248,2.07,-0.31%,-1.59, 1t start tie, 7t -2- 1 out d1
24,416,119,Aug 18,BOS,,TOR,"W,6-4",GS-8,W(9-7),4,8.0,5,2,2,1,5,0,1,4.53,31,103,69,22,8,14,10,0,2,0,68,,,0,0,0,28,1,1,0,1,1,1,.71,0.214,1.47,0.27%,2.76, 1t start tie, 8t 3 out a4
25,417,124,Aug 24,BOS,@,TOR,"W,5-4",GS-6,W(10-7),5,5.0,10,3,3,2,4,1,2,4.56,27,102,63,18,6,5,14,5,3,0,37,,,0,1,1,23,1,1,0,0,0,0,1.08,-0.297,2.36,-0.39%,-1.93, 1b start tie, 6b 123 0 out a2
26,418,129,Aug 29,BOS,,DET,"W,6-1",GS-8,W(11-7),4,8.0,3,1,1,1,7,1,0,4.38,28,99,72,24,12,9,11,2,5,0,78,,,0,0,1,27,1,0,0,0,0,0,.72,0.292,1.60,0.39%,3.76, 1t start tie, 8t 3 out a5
27,419,134,Sep 4,BOS,,TEX,"L,6-8",GS-7,L(11-8),5,6.0,8,8,8,2,4,2,1,4.67,29,96,67,12,16,8,14,0,4,0,26,,,0,0,0,26,1,0,0,0,0,0,.76,-0.263,1.19,-0.25%,-4.43, 1t start tie, 7t --- 0 out d7
28,420,139,Sep 9,BOS,@,SEA,"L,1-7",GS-5,L(11-9),4,4.2,7,7,2,3,2,1,2,4.64,27,102,61,16,11,6,14,3,5,0,31,,,2,0,0,22,4,0,0,0,0,1,.87,-0.223,.49,-0.08%,-4.39, 1b start tie, 5b --- 2 out d7
29,421,144,Sep 15,BOS,,TBD,"W,8-6",GS-5,,5,5.0,6,4,4,3,2,0,0,4.72,24,96,60,15,8,11,8,2,1,0,38,,,5,0,0,20,2,0,0,0,1,0,1.46,-0.114,.99,-0.05%,-1.03, 1t start tie, 5t 3 out tie
30,422,149,Sep 20,BOS,,BAL,"L,6-9",GS-5,L(11-10),4,4.1,5,8,7,5,7,1,1,4.96,24,102,56,21,12,6,5,3,0,0,25,,,2,1,0,18,1,0,1,0,0,0,.95,-0.363,.23,-0.05%,-6.03, 1t start tie, 5t 12- 1 out d6
31,423,154,Sep 25,BOS,,NYY,"W,12-5",GS-7,,4,6.1,5,5,3,2,1,1,1,4.94,27,88,56,9,8,10,13,1,6,0,46,,,0,0,0,24,2,0,0,1,0,1,1.26,-0.207,.14,-0.01%,-1.44, 1t start tie, 7t 1-- 1 out tie
32,424,159,Oct 1,BOS,@,BAL,"W,8-3",GS-6,W(12-10),5,6.0,6,2,2,2,5,0,0,4.87,26,95,58,14,8,9,10,4,1,0,55,,,0,0,0,24,0,0,0,0,0,0,1.23,0.051,.00,0.00%,1.30, 1b start tie, 6b 3 out d1
