Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
19,331,61,Jun 10,BOS,,COL,"W,7-3",7-GF,S(3),1,3.0,2,1,1,1,0,0,0,2.55,12,51,34,10,4,6,5,2,1,0,,0,0,0,0,0,11,0,0,0,0,0,0,.31,0.044,.30,0.03%,0.68, 7t --- 0 out a5, 9t end a 4
20,332,65,Jun 15,BOS,@,ATL,"L,2-4",7-GF(8),,4,2.0,3,1,1,1,2,0,0,2.62,9,41,28,7,4,4,2,0,1,0,,0,0,0,1,0,8,0,0,0,0,0,0,.72,-0.014,.77,-0.01%,0.01, 7b --- 0 out d1, 8b end d 2
21,333,67,Jun 18,BOS,@,SDP,"W,4-2",8-8,H(4),2,1.0,1,0,0,0,0,0,0,2.57,4,11,8,2,0,1,3,1,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,1.73,0.079,1.69,0.05%,0.45, 8b --- 0 out a2, 8b 3 out a2
22,334,71,Jun 22,BOS,@,LAD,"L,4-5",8-GF(8),,3,1.0,0,0,0,0,1,0,0,2.53,3,7,6,2,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.37,0.027,.39,0.02%,0.46, 8b --- 0 out d1, 8b end d 1
23,335,73,Jun 25,BOS,,CLE,"L,2-4",7-7,,2,1.0,1,0,0,0,1,0,0,2.48,4,20,13,5,2,0,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.82,0.040,1.07,0.03%,0.56, 7t --- 0 out d2, 7t 3 out d2
24,336,74,Jun 26,BOS,,CLE,"W,7-4",8-8,H(5),0,1.0,0,0,0,0,3,0,0,2.44,3,16,11,4,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.03,0.082,1.38,0.07%,0.56, 8t --- 0 out a2, 8t 3 out a2
25,337,75,Jun 28,BOS,,ATL,"L,2-4",9-GF,L(2-3),1,1.0,3,2,2,1,1,0,0,2.70,7,19,11,5,0,0,5,2,0,0,,0,0,0,0,0,6,2,0,0,0,0,0,2.11,-0.396,2.74,-0.31%,-1.44, 9t --- 0 out tie, 9t end d 2
Jul,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
26,338,79,Jul 2(1),BOS,,TOR,"W,2-1",GS-6,,3,6.0,3,0,0,0,4,0,0,2.45,20,86,55,14,11,10,6,4,1,0,70,,,0,0,0,20,0,0,0,1,0,0,.96,0.372,1.41,0.33%,3.36, 1t start tie, 6t 3 out tie
27,339,83,Jul 5,BOS,,DET,"L,5-9",6-8,,2,3.0,3,1,1,0,3,0,0,2.48,12,31,28,4,8,0,9,3,0,0,,3,3,0,0,0,11,1,0,0,0,1,0,.72,-0.081,1.00,-0.07%,-0.47, 6t 123 0 out d1, 8t 3 out d4
28,340,85,Jul 7,BOS,,DET,"L,8-9",3-6,,1,2.1,5,4,4,1,3,0,1,2.90,14,43,32,3,8,3,6,5,1,0,,0,0,1,0,0,12,2,0,0,0,0,0,1.36,-0.340,1.81,-0.27%,-2.16, 3t --- 2 out d2, 6t 1-- 0 out d1
29,341,87,Jul 12,BOS,@,TOR,"L,0-5",7-GF(8),,4,2.0,3,1,1,0,2,0,0,2.95,9,29,20,5,3,2,5,3,1,0,,0,0,1,0,0,9,1,0,0,0,0,0,.09,-0.011,.13,-0.01%,0.13, 7b --- 0 out d4, 8b end d 5
30,342,89,Jul 14,BOS,@,TOR,"L,5-6",7-8,,1,2.0,3,2,2,1,2,1,0,3.11,10,39,28,6,4,1,6,3,1,0,,0,0,0,0,0,9,2,0,0,0,0,0,.86,-0.196,1.35,-0.19%,-0.87, 7b --- 0 out tie, 8b 3 out d2
31,343,93,Jul 18,BOS,@,TBD,"W,4-3",5-7,W(3-3),3,3.0,0,0,0,0,5,0,1,2.99,10,39,29,9,7,3,1,0,1,0,,2,0,3,0,0,9,0,0,0,0,0,0,1.34,0.270,2.20,0.27%,2.59, 5b 12- 0 out d1, 7b 3 out tie
32,344,95,Jul 20,BOS,@,NYY,"L,8-9",5-7,,1,3.0,3,1,1,2,3,0,0,2.99,13,55,36,11,5,1,7,2,1,0,,0,0,2,0,0,11,1,0,0,1,0,0,.32,-0.007,.65,-0.01%,0.63, 5b --- 0 out d3, 7b 3 out d3
33,345,97,Jul 23(1),BOS,,TBD,"W,22-4",GS-5,W(4-3),2,5.0,5,4,4,1,4,1,1,3.23,21,69,47,16,10,4,11,3,1,0,44,,,0,1,0,18,1,0,0,0,1,0,.52,-0.206,.89,-0.21%,-1.20, 1t start tie, 5t 3 out a12
34,346,103,Jul 28,BOS,,BAL,"W,12-3",7-7,,4,1.0,2,3,3,1,2,1,0,3.50,6,25,17,5,3,0,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.02,-0.003,.04,0.00%,-2.44, 7t --- 0 out a10, 7t 3 out a7
35,347,106,Jul 31,BOS,@,ANA,"W,2-1",GS-5,W(5-3),2,5.0,3,0,0,1,5,0,1,3.31,20,87,57,17,10,4,9,4,1,0,65,,,0,0,0,18,1,0,0,0,0,0,1.14,0.290,2.77,0.42%,2.72, 1b start tie, 5b 3 out tie
Aug,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
36,348,111,Aug 6,BOS,,OAK,"L,1-9",GS-6,L(5-4),5,6.0,5,5,5,3,3,2,1,3.57,26,96,60,20,5,4,15,4,3,0,42,,,0,1,0,22,0,0,0,0,0,0,1.02,-0.221,2.37,-0.31%,-1.64, 1t start tie, 6t 3 out d4
37,349,116,Aug 11,BOS,,MIN,"W,3-1",GS-8,W(6-4),4,8.0,4,1,1,0,7,0,0,3.39,27,98,67,22,12,6,14,3,3,0,77,,,0,1,0,27,1,0,0,1,0,1,1.23,0.478,2.37,0.55%,3.48, 1t start tie, 8t 3 out a1
38,350,121,Aug 17,BOS,@,MIN,"W,5-2",GS-7,W(7-4),5,6.0,4,1,1,3,4,0,0,3.28,24,93,59,19,10,10,7,3,1,0,61,,,1,0,0,21,2,0,0,1,0,0,1.06,0.094,1.88,0.10%,1.41, 1b start a 1, 7b 123 0 out a3
39,351,127,Aug 24,BOS,,ANA,"L,0-2",GS-7,L(7-5),6,7.0,8,2,1,1,7,0,0,3.17,30,103,75,21,13,5,17,9,2,0,61,,,2,0,0,29,2,0,0,1,0,1,.99,0.121,2.50,0.18%,1.92, 1t start tie, 7t 3 out d2
Sept,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
40,352,134,Sep 1,BOS,@,CLE,"W,7-1",GS-7,W(8-5),7,7.0,3,1,1,2,6,1,0,3.06,27,113,77,24,17,11,8,1,0,0,71,,,0,0,0,25,0,0,0,1,0,2,.36,0.145,.28,0.07%,2.69, 1b start a 4, 7b 3 out a6
41,353,139,Sep 6,BOS,,TOR,"W,7-2",GS-7,W(9-5),4,7.0,5,1,1,1,8,0,0,2.97,26,91,65,16,21,8,9,2,3,0,70,,,0,0,0,25,1,0,0,1,0,1,.80,0.199,.14,0.02%,2.92, 1t start tie, 7t 3 out a5
42,354,145,Sep 12,BOS,@,TBD,"W,6-3",GS-8,W(10-5),5,8.0,7,3,1,3,6,1,0,2.87,32,113,76,14,19,10,13,3,2,0,63,,,1,1,0,28,1,0,0,2,0,0,1.16,-0.047,.17,0.00%,1.22, 1b start tie, 8b 3 out d1
43,355,151,Sep 17,BOS,,CLE,"W,4-2",GS-8,W(11-5),4,8.0,5,1,1,1,4,0,0,2.77,30,101,74,19,14,10,15,4,3,0,71,,,0,0,0,29,1,0,0,0,0,0,1.01,0.397,.00,0.00%,3.48, 1t start tie, 8t 3 out a2
44,356,156,Sep 23,BOS,@,BAL,"W,5-4",GS-8,,5,8.0,4,2,2,3,3,1,0,2.75,30,100,67,22,10,11,13,3,1,0,66,,,1,0,0,27,0,0,0,2,0,1,1.32,0.426,.00,0.00%,2.13, 1b start a 2, 8b 3 out a1
45,357,161,Sep 28,BOS,,TBD,"L,6-9",GS-7,,4,6.0,5,3,3,2,3,1,1,2.81,26,99,63,18,9,5,15,7,1,0,51,,,2,0,0,23,3,0,0,0,0,0,.97,0.118,.00,0.00%,0.97, 1t start tie, 7t 1-- 0 out a2
,,,,,,,25-20,,"W-L:11-5,Sv:3,BSv:2,Hld:5",2.9,163.1,121,57,51,51,134,15,9,2.81,657,2450,66%,19%,12%,0.62,,22%,7%,0,61,11,36%,21,7,0,592,29,1,2,16,4,8,.98,2.349,1.12,1.28%,32.58,,
