Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,14,1,Apr 6,PIT,,SDP,"W,9-4",GS-8,W(1-0),99,7.0,2,3,3,9,9,0,0,3.86,32,126,67,19,17,10,4,0,2,0,61,,,1,0,0,23,0,0,0,0,0,0,.78,0.252,.93,0.18%,1.48, 1t start tie, 8t 12- 0 out a5
2,15,5,Apr 11,PIT,,SFG,"L,3-4",GS-7,L(1-1),4,7.0,7,4,3,5,3,1,1,3.86,32,129,70,17,9,9,14,5,2,0,47,,,0,2,0,25,1,0,0,0,1,0,1.19,-0.179,1.58,-0.14%,-0.52, 1t start tie, 7t 3 out d2
3,16,10,Apr 16,PIT,@,LAD,"L,4-7",GS-6,L(1-2),4,6.0,13,7,7,2,1,1,0,5.85,32,100,63,16,4,9,20,6,7,0,17,,,0,0,0,30,2,1,0,1,0,0,1.05,-0.387,1.65,-0.36%,-4.17, 1b start tie, 6b 3 out d5
4,17,15,Apr 22,PIT,,CIN,"W,5-4",CG,W(2-2),5,9.0,4,4,4,9,4,1,0,5.28,39,126,73,21,10,9,17,6,6,0,58,,,0,0,0,28,1,0,0,0,0,0,1.51,0.215,1.65,0.14%,0.47, 1t start tie, 9t 3 out a1
5,18,20,Apr 27,PIT,@,ATL,"W,6-2",GS-11,W(3-2),4,10.0,6,2,2,10,1,1,2,4.38,46,172,92,33,9,12,21,7,5,0,63,,,0,0,0,33,2,0,0,2,0,0,1.76,0.277,1.81,0.17%,2.03, 1b start a 1,11b 12- 0 out a4
May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
6,19,25,May 4,PIT,,ATL,"L,2-3",GS-8,L(3-3),6,8.0,9,3,3,5,5,0,1,4.21,36,124,71,21,10,9,16,8,2,0,52,,,2,1,0,30,3,0,1,2,0,0,1.00,-0.050,1.01,-0.03%,0.97, 1t start tie, 8t 3 out d2
7,20,29,May 9,PIT,,MON,"W,6-5",GS-8,,4,8.0,9,4,4,2,1,2,0,4.25,34,104,69,22,6,8,23,6,3,0,47,,,2,0,1,30,2,0,0,0,1,0,1.14,-0.231,1.30,-0.16%,-0.03, 1t start tie, 8t 3 out d1
8,21,34,May 15,PIT,@,CHC,"L,5-14",GS-4,L(3-4),5,3.0,9,6,6,0,1,2,0,4.97,18,57,37,7,5,4,13,6,2,0,18,,,0,0,1,18,2,1,0,0,0,0,1.04,-0.432,1.02,-0.26%,-3.53, 1b start a 1, 4b 12- 0 out tie
9,22,39,May 21,PIT,,STL,"L,8-10",GS-5,,5,5.0,5,4,4,5,4,0,1,5.14,25,87,48,11,6,5,10,6,1,0,40,,,1,1,0,18,1,0,0,0,0,0,.99,-0.154,.96,-0.09%,-1.52, 1t start tie, 5t 3 out d4
10,23,43,May 26,PIT,,FLA,"L,4-5",GS-5,,4,4.1,8,4,4,4,1,0,0,5.35,23,77,45,19,2,9,9,4,3,0,28,,,0,0,0,19,0,0,0,2,0,1,1.21,-0.273,.98,-0.13%,-2.70, 1t start tie, 5t 1-3 1 out d2
11,24,48,May 31,PIT,@,COL,"L,2-6",GS-5,L(3-5),4,5.0,10,5,5,3,0,0,0,5.60,27,76,47,14,1,8,16,7,3,0,24,,,0,0,0,24,3,1,1,0,0,0,1.29,-0.277,.77,-0.10%,-2.09, 1b start a 1, 5b 3 out d3
Jun,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
12,25,53,Jun 5,PIT,@,SFG,"L,2-3",GS-6,L(3-6),4,6.0,4,3,3,1,2,2,0,5.51,23,77,47,12,3,5,15,1,7,0,53,,,0,0,0,22,2,0,0,0,0,0,.45,-0.119,.38,-0.06%,-0.11, 1b start tie, 6b 3 out d3
13,26,58,Jun 11,PIT,@,FLA,"L,3-11",GS-2,L(3-7),5,1.0,7,5,5,0,1,0,0,6.01,10,32,23,3,2,4,5,3,0,0,20,,,0,0,0,10,1,0,0,0,0,0,1.10,-0.399,.50,-0.11%,-4.48, 1b start a 1, 2b 12- 0 out d2
14,27,61,Jun 14,PIT,@,STL,"L,3-8",6-7,,2,2.0,5,3,3,1,2,0,1,6.20,12,41,25,5,5,4,4,3,1,0,,0,0,0,0,0,10,2,0,0,0,0,0,.30,-0.064,.07,-0.01%,-2.03, 6b --- 0 out d2, 7b 3 out d5
15,28,68,Jun 21,PIT,,CHC,"L,1-5",7-7,,6,1.0,0,0,0,0,0,0,0,6.12,3,12,8,3,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.012,.03,0.00%,0.50, 7t --- 0 out d4, 7t 3 out d4
16,29,71,Jun 25,PIT,,PHI,"L,6-8",9-GF,,3,1.0,0,0,0,0,0,0,0,6.05,3,4,4,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,1,.30,0.017,.08,0.00%,0.50, 9t --- 0 out d2, 9t end d 2
17,30,74,Jun 28,PIT,@,MON,"W,9-5",8-9,W(4-7),2,2.0,1,0,0,0,2,0,0,5.91,7,21,13,5,2,3,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.08,0.174,.41,0.02%,1.05, 8b --- 0 out d1, 9b 3 out tie
Jul,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
18,31,79,Jul 2(2),PIT,@,CIN,"L,1-9",GS-6,L(4-8),3,6.0,8,9,9,3,3,2,0,6.41,29,84,58,13,4,11,12,3,2,0,20,,,0,0,0,24,2,0,0,0,2,0,.66,-0.261,.10,-0.02%,-5.99, 1b start tie, 6b 3 out d8
19,32,84,Jul 7,PIT,@,HOU,"W,5-2",GS-4,,4,3.2,5,2,2,2,3,0,0,6.35,18,67,38,13,3,7,6,1,2,0,44,,,0,0,0,15,2,0,0,0,1,0,1.05,0.003,.09,0.00%,-0.85, 1b start tie, 4b 123 2 out a3
Sept,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
20,33,136,Sep 4,PIT,@,COL,"L,4-10",GS-5,L(4-9),58,4.2,7,5,5,3,4,1,0,6.50,24,88,53,11,15,4,13,7,3,0,31,,,1,0,0,20,3,0,0,0,0,0,1.16,-0.325,.00,0.00%,-2.64, 1b start a 2, 5b 1-3 2 out d1
21,34,142,Sep 11,PIT,,COL,"L,2-3",GS-6,L(4-10),6,6.0,10,3,1,1,4,0,0,6.22,28,91,56,12,8,10,13,2,5,0,47,,,0,0,0,27,1,0,0,1,0,0,.89,-0.024,.00,0.00%,-0.02, 1t start tie, 6t 3 out d1
