Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,458,2,Apr 4,BOS,@,TEX,"L,4-10",GS-4,L(0-1),99,3.2,7,7,7,3,3,1,0,17.18,22,89,55,14,9,4,12,2,3,0,19,,,1,0,0,19,1,0,0,0,0,0,.63,-0.297,.64,-0.18%,-4.24, 1b start tie, 4b 12- 2 out d6
2,459,6,Apr 9,BOS,@,BAL,"W,4-1",GS-6,W(1-1),4,6.0,5,1,0,2,4,0,2,6.52,29,93,63,15,11,13,8,2,1,0,62,,,2,0,0,25,1,0,0,0,0,1,1.39,0.230,1.72,0.17%,2.28, 1b start tie, 6b 3 out a3
3,460,11,Apr 15,BOS,,SEA,"L,0-3",CG,L(1-2),5,9.0,9,3,2,0,6,0,0,4.34,36,108,81,17,16,8,22,5,5,0,65,,,2,0,0,36,5,0,0,0,0,0,.68,0.017,.78,0.01%,2.22, 1t start tie, 9t 3 out d3
4,461,16,Apr 20,BOS,,TBD,"L,1-5",GS-8,L(1-3),4,8.0,4,3,2,2,2,1,0,3.71,30,108,67,15,5,15,11,2,0,0,64,,,1,0,0,28,1,0,0,0,0,0,.77,0.071,1.04,0.06%,1.64, 1t start tie, 8t 3 out d2
5,462,21,Apr 26,BOS,@,CLE,"L,1-7",GS-6,L(1-4),5,5.2,5,5,3,4,3,1,0,3.90,26,116,67,15,11,9,10,3,5,0,42,,,3,0,0,22,1,0,0,0,0,0,.67,-0.226,.84,-0.17%,-2.06, 1b start tie, 6b -2- 2 out d4
May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
6,463,26,May 1,BOS,,NYY,"W,7-3",GS-7,,4,7.0,4,3,3,3,2,0,0,3.89,27,99,60,18,3,11,11,3,2,0,56,,,0,1,0,24,0,0,0,0,0,0,1.20,0.102,1.65,0.09%,1.06, 1t start tie, 7t 3 out tie
7,464,30,May 6,BOS,,BAL,"W,9-3",GS-6,W(2-4),4,6.0,7,3,3,2,3,1,1,3.97,28,99,65,21,4,6,16,4,2,0,47,,,0,0,0,25,3,0,0,0,0,0,1.00,0.115,1.35,0.09%,0.48, 1t start tie, 6t 3 out a4
8,465,34,May 11,BOS,@,NYY,"W,5-3",GS-6,W(3-4),4,6.0,6,3,3,3,9,0,0,4.03,27,106,71,14,17,6,9,2,1,0,54,,,4,0,0,24,0,1,0,0,0,0,.97,-0.023,1.53,-0.02%,0.35, 1b start tie, 6b 3 out d1
9,466,38,May 17,BOS,@,BAL,"L,3-4",GS-7,L(3-5),5,7.0,8,4,4,3,6,1,0,4.17,30,110,72,25,6,7,14,5,3,0,48,,,0,1,0,27,1,0,0,1,0,0,1.05,-0.144,1.44,-0.12%,-0.17, 1b start a 1, 7b 3 out d3
10,467,43,May 23,BOS,,NYY,"L,5-7",GS-7,L(3-6),5,6.2,6,7,6,5,5,2,0,4.57,31,114,66,17,11,10,11,3,4,0,36,,,2,1,0,26,1,0,0,0,0,0,.69,-0.199,1.11,-0.19%,-3.06, 1t start tie, 7t --- 2 out d6
11,468,48,May 28,BOS,,TBD,"W,5-4",GS-8,W(4-6),4,8.0,5,0,0,1,4,0,0,4.07,29,108,70,15,7,15,9,3,1,0,75,,,2,0,1,28,2,0,0,0,0,0,.72,0.409,1.01,0.34%,4.64, 1t start tie, 8t 3 out a5
Jun,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
12,469,53,Jun 3,BOS,@,DET,"L,2-6",GS-7,L(4-7),5,7.0,6,3,3,2,6,2,0,4.05,26,99,62,16,12,7,11,2,2,0,57,,,0,0,1,24,1,0,0,2,0,0,.70,-0.024,1.04,-0.02%,0.87, 1b start a 1, 7b 3 out d2
13,470,58,Jun 9,BOS,,TEX,"W,4-3",GS-7,,5,7.0,4,2,2,1,6,1,0,3.93,26,92,66,23,8,6,13,1,5,0,66,,,0,0,0,25,2,0,0,0,0,0,.94,0.308,1.31,0.26%,2.06, 1t start tie, 7t 3 out a1
14,471,64,Jun 15,BOS,@,MIN,"L,3-5",GS-6,L(4-8),5,6.0,8,4,3,2,4,1,0,3.97,27,95,60,14,7,9,12,3,1,0,44,,,0,1,0,24,1,0,0,0,1,0,.56,-0.146,.83,-0.13%,-0.75, 1b start tie, 6b 3 out d4
15,472,69,Jun 20,BOS,,WSN,"W,11-3",GS-6,W(5-8),4,6.0,4,1,1,1,4,0,1,3.82,24,103,62,18,11,8,10,2,0,0,63,,,0,0,0,22,1,0,0,0,0,0,.43,0.152,.61,0.13%,2.48, 1t start tie, 6t 3 out a7
16,473,73,Jun 26,BOS,,PHI,"W,8-7",GS-7,,5,6.0,6,3,3,2,4,0,1,3.86,26,108,69,17,10,4,15,6,3,0,50,,,1,0,0,23,1,0,0,1,0,0,1.05,0.310,1.45,0.26%,1.63, 1t start tie, 7t 123 0 out a6
Jul,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
17,474,78,Jul 1,BOS,@,FLA,"W,11-5",GS-6,W(6-8),4,5.2,5,3,3,1,4,0,1,3.90,26,112,67,27,5,11,9,3,2,0,50,,,1,0,0,22,1,0,0,0,1,1,.77,0.100,1.06,0.08%,-0.43, 1b start a 3, 6b 1-3 2 out a8
18,475,83,Jul 6,BOS,@,TBD,"W,12-5",GS-6,W(7-8),4,5.0,4,4,4,3,3,3,1,4.05,23,90,58,15,9,4,12,2,2,0,43,,,2,0,0,19,1,0,0,0,0,0,1.03,-0.061,1.45,-0.05%,-1.27, 1b start a 2, 6b --- 0 out a2
19,476,91,Jul 17,BOS,,KCR,"W,5-4",GS-4,,10,4.0,4,3,3,3,2,0,1,4.14,20,77,49,7,12,7,7,1,4,0,41,,,0,0,0,16,1,0,0,0,0,0,1.03,-0.107,1.60,-0.10%,-0.68, 1t start tie, 4t 3 out d3
