Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,563,4,Apr 9,BOS,@,KCR,"L,3-4",GS-7,,99,7.0,6,2,2,1,6,2,0,2.57,27,96,60,20,10,5,15,4,2,0,62,,,1,0,0,26,2,0,0,0,0,0,.93,0.215,.89,0.12%,1.45, 1b start tie, 7b 3 out a1
2,564,9,Apr 15,BOS,@,MIN,"L,0-8",GS-6,L(0-1),5,5.1,10,6,5,1,2,0,0,5.11,28,98,67,18,7,6,19,5,2,0,27,,,0,0,0,26,4,0,1,0,1,1,.83,-0.174,.82,-0.10%,-3.75, 1b start tie, 6b -2- 1 out d6
3,565,14,Apr 20,BOS,,TEX,"W,7-6",GS-6,,4,6.0,7,6,6,5,3,0,1,6.38,30,113,64,19,9,6,15,6,3,0,32,,,9,0,0,24,2,0,1,0,0,0,.89,-0.315,.65,-0.14%,-2.84, 1t start tie, 6t 3 out d4
4,566,19,Apr 25,BOS,,BAL,"L,6-7",GS-7,,4,6.2,7,2,2,1,5,0,0,5.40,29,108,74,22,8,9,14,2,3,0,56,,,1,0,0,28,2,0,0,0,0,1,1.15,0.228,.91,0.11%,2.31, 1t start tie, 7t --3 2 out a3
May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
5,567,24,May 1,BOS,@,BAL,"L,9-12",5-7,,5,2.1,5,5,5,0,1,3,0,6.59,12,33,26,7,2,6,5,1,1,0,,1,0,0,0,0,12,0,0,0,0,0,0,.20,-0.085,.17,-0.04%,-3.70, 5b -2- 2 out d3, 7b 3 out d4
6,568,30,May 7,BOS,,NYY,"L,3-10",7-GF,,5,3.0,2,1,1,0,0,0,0,6.23,10,36,22,6,0,2,8,3,1,0,,0,0,0,0,0,9,0,0,0,1,1,0,.02,0.001,.02,0.00%,0.58, 7t --- 0 out d7, 9t end d 7
7,569,32,May 9,BOS,,NYY,"W,9-3",9-GF,,1,1.0,0,0,0,0,1,0,0,6.03,3,10,8,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.003,.02,0.00%,0.53, 9t --- 0 out a6, 9t end a 6
8,570,35,May 12,BOS,,TOR,"L,2-3",GS-7,L(0-2),2,7.0,5,3,3,1,5,1,0,5.63,27,102,64,16,8,7,14,2,3,0,59,,,0,0,0,26,3,0,0,0,0,0,.91,0.015,.91,0.01%,0.69, 1t start tie, 7t 3 out d3
9,571,39,May 17,BOS,@,NYY,"L,9-11",5-7,,4,2.1,1,0,0,0,0,0,0,5.31,8,29,19,6,0,4,4,0,2,0,,1,0,1,0,0,8,0,0,0,0,0,0,.95,0.122,.95,0.07%,1.43, 5b --3 2 out d2, 7b 3 out d1
10,572,45,May 23,BOS,@,PHI,"W,8-3",GS-8,W(1-2),5,8.0,5,0,0,2,1,0,0,4.44,31,102,68,21,3,8,20,3,6,0,71,,,0,0,0,29,2,1,0,0,0,0,.61,0.283,.49,0.14%,3.98, 1b start tie, 8b 3 out a7
11,573,50,May 28,BOS,,KCR,"L,5-12",GS-4,L(1-3),4,3.2,12,9,9,3,1,1,0,5.68,26,88,56,15,4,7,15,9,2,0,-1,,,1,0,0,23,1,0,0,0,0,0,1.75,-0.699,1.94,-0.46%,-7.00, 1t start tie, 4t --- 2 out d4
Jun,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
12,574,55,Jun 3,BOS,,OAK,"L,8-9",GS-6,L(1-4),5,6.0,8,6,6,0,4,2,0,6.02,25,78,57,16,10,7,14,5,4,0,36,,,1,1,0,25,2,0,0,0,0,0,.84,-0.361,1.04,-0.27%,-2.84, 1t start tie, 6t 3 out d3
13,575,60,Jun 8,BOS,@,CLE,"W,3-2",GS-8,W(2-4),4,7.1,4,2,1,0,6,1,0,5.48,27,105,74,27,11,8,13,3,4,0,70,,,0,0,0,27,1,1,0,0,0,1,.95,0.116,1.21,0.09%,1.08, 1b start tie, 8b -2- 1 out a1
14,576,65,Jun 13,BOS,,PHI,"L,3-5",GS-8,L(2-5),4,7.1,7,4,4,1,3,1,1,5.42,29,109,77,24,6,10,14,2,3,0,50,,,0,0,0,27,3,0,0,2,0,0,.81,-0.172,1.01,-0.13%,-0.49, 1t start tie, 8t -2- 1 out d3
15,577,70,Jun 19,BOS,,LAD,"W,5-4",GS-7,,5,6.1,5,4,3,2,6,1,0,5.33,27,95,62,17,10,8,11,2,0,0,53,,,3,1,0,25,2,0,0,0,0,2,1.12,-0.073,1.64,-0.06%,-0.27, 1t start tie, 7t --3 1 out a1
16,578,75,Jun 25,BOS,@,SFG,"L,4-5",GS-7,L(2-6),5,7.0,11,4,3,2,3,1,0,5.21,34,100,69,26,4,17,12,5,1,0,42,,,0,0,0,31,0,0,0,0,0,0,1.02,-0.120,1.52,-0.11%,-0.69, 1b start a 3, 7b 3 out d1
Jul,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
17,579,80,Jul 2,BOS,,BAL,"W,3-2",GS-8,W(3-6),6,8.0,7,2,2,1,4,1,0,4.96,31,96,66,19,9,8,18,4,3,0,63,,,0,1,0,30,0,0,0,0,0,0,1.27,0.294,2.01,0.28%,2.22, 1t start tie, 8t 3 out tie
18,580,85,Jul 7,BOS,@,TBR,"L,4-6",GS-6,L(3-7),4,5.2,4,6,6,6,3,1,0,5.22,28,112,59,18,8,10,9,2,1,0,34,,,2,0,1,22,0,0,1,0,0,1,.88,-0.187,1.88,-0.24%,-2.39, 1b start tie, 6b 1-- 2 out d4
19,581,89,Jul 15,BOS,,TEX,"L,2-7",GS-3,L(3-8),7,2.0,8,7,6,0,2,1,0,5.65,15,34,28,8,1,6,7,3,0,0,16,,,0,0,0,15,2,0,0,0,0,1,.61,-0.428,.90,-0.38%,-7.44, 1t start tie, 3t -23 0 out d7
20,582,94,Jul 20,BOS,@,OAK,"L,4-5",GS-6,,4,6.0,3,4,3,2,5,0,2,5.58,24,115,74,23,7,5,10,2,4,0,55,,,2,0,0,19,2,0,0,1,1,0,1.12,-0.056,1.49,-0.04%,-1.05, 1b start a 1, 6b 3 out tie
21,583,103,Jul 30,BOS,,DET,"L,5-6",8-GF,,9,2.0,1,2,2,1,1,0,1,5.65,9,33,19,2,4,4,2,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.21,-0.049,.22,-0.03%,-0.95, 8t --- 0 out d3, 9t end d 5
Aug,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
22,584,106,Aug 2,BOS,,CLE,"L,5-6",7-8,,2,2.0,1,0,0,2,2,0,0,5.54,9,36,22,6,5,2,3,1,0,0,,0,0,1,0,0,7,0,0,0,0,0,0,.15,0.016,.17,0.01%,1.05, 7t --- 0 out d5, 8t 3 out d4
23,585,112,Aug 8,BOS,@,NYY,"L,2-7",6-GF(8),,5,3.0,1,0,0,0,3,0,0,5.40,10,42,30,9,8,2,5,2,1,0,,0,0,1,0,0,10,0,0,0,0,0,0,.05,0.008,.08,0.01%,1.58, 6b --- 0 out d6, 8b end d 5
24,586,117,Aug 13,BOS,@,TEX,"L,9-10",11-GF(11),L(3-9),4,0.0,1,1,1,0,0,1,0,5.48,1,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.30,-0.355,3.35,-0.31%,-1.00,11b --- 0 out tie,11b end d 1
25,587,122,Aug 19,BOS,,LAA,"L,2-7",8-GF,,5,2.0,1,0,0,0,1,0,0,5.38,7,19,13,4,2,2,4,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.03,0.004,.04,0.00%,1.05, 8t --- 0 out d6, 9t end d 5
26,588,123,Aug 20,BOS,,TOR,"L,2-16",8-GF,,0,2.0,3,1,0,0,2,0,0,5.29,8,31,25,5,3,3,3,1,1,0,,0,0,0,0,0,8,0,0,0,1,0,0,.00,0.000,.00,0.00%,0.05, 8t --- 0 out d13, 9t end d14
27,589,128,Aug 25(2),BOS,,SEA,"L,2-4",GS-6,L(3-10),4,5.2,8,4,3,0,2,0,0,5.27,26,91,64,14,12,14,10,3,1,0,41,,,1,0,0,25,5,0,0,0,0,1,.88,-0.147,1.12,-0.11%,-1.17, 1t start tie, 6t -2- 2 out d3
Sep/Oct,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
28,590,135,Sep 4(1),BOS,,CHW,"L,1-3",8-GF,,9,2.0,2,0,0,0,1,0,0,5.19,7,22,17,3,3,2,4,1,1,0,,0,0,0,1,1,7,0,0,0,0,0,0,.46,0.050,.28,0.02%,1.05, 8t --- 0 out d2, 9t end d 2
29,591,140,Sep 8,BOS,,TBR,"W,11-5",GS-5,W(4-10),3,5.0,6,5,4,2,4,1,0,5.26,24,86,65,14,10,5,13,3,2,0,39,,,0,0,0,21,2,0,0,0,1,1,.98,-0.238,.40,-0.06%,-2.37, 1t start tie, 5t 3 out d1
30,592,147,Sep 17,BOS,,TOR,"L,9-11",7-GF,,8,2.1,3,0,0,0,1,0,0,5.17,9,31,22,3,6,2,6,3,1,0,,2,0,0,1,1,9,0,0,0,0,0,0,.11,0.010,.07,0.00%,1.57, 7t 1-3 2 out d6, 9t end d 4
