Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
11,227,28,May 8,BOS,,CHW,"W,3-2",7-8,H(1),5,1.2,2,0,0,1,1,0,0,2.22,8,31,19,5,2,2,4,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.76,0.175,2.20,0.13%,0.96, 7t --- 0 out a1, 8t 1-- 2 out a1
12,228,30,May 10,BOS,,CHW,"W,5-3",6-6,,1,0.2,4,3,3,0,0,1,0,3.24,6,15,10,1,0,4,2,1,0,0,,0,0,1,0,0,6,0,0,0,0,0,0,.83,-0.143,1.06,-0.11%,-2.66, 6t --- 0 out a5, 6t 1-- 2 out a2
13,229,31,May 11,BOS,@,BAL,"W,11-4",GS-4,,0,3.2,6,4,4,4,1,2,0,4.08,20,84,46,16,4,4,11,4,1,0,30,,,1,0,0,16,3,0,0,1,0,0,1.21,-0.235,1.73,-0.20%,-2.12, 1b start a 2, 4b --3 2 out tie
14,230,36,May 16,BOS,@,TOR,"L,6-7",GS-5,,4,5.0,6,1,1,0,2,1,0,3.74,21,82,54,14,9,3,16,4,5,0,53,,,1,0,0,21,1,0,0,0,0,0,.92,0.204,1.37,0.18%,2.08, 1b start tie, 5b 3 out a3
15,231,39,May 20,BOS,,DET,"L,1-2",6-7,L(1-3),3,1.2,3,1,1,0,2,1,0,3.82,8,26,19,6,3,3,3,1,0,0,,0,0,1,0,0,8,0,0,0,0,0,0,.97,-0.072,1.20,-0.05%,-0.34, 6t --- 0 out tie, 7t 1-3 2 out d1
16,232,43,May 25,BOS,,TOR,"L,6-11",5-7,,4,2.0,6,5,5,1,1,1,0,4.82,12,37,24,6,4,2,8,5,0,0,,0,0,1,0,0,11,1,0,0,1,0,0,.39,-0.115,.58,-0.10%,-2.80, 5t --- 0 out d3, 7t 12- 0 out d5
17,233,45,May 27,BOS,@,NYY,"L,3-8",8-GF(8),,1,1.0,0,0,0,1,0,0,0,4.70,3,10,5,3,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.04,0.002,.06,0.00%,0.59, 8b --- 0 out d5, 8b end d 5
18,234,48,May 31,BOS,,KCR,"L,7-9",5-7,,3,2.2,4,1,1,1,2,0,0,4.61,13,43,32,6,4,3,7,6,0,0,,3,2,0,0,0,12,0,1,0,0,0,0,.21,-0.034,.30,-0.03%,-0.08, 5t 123 1 out d4, 7t 3 out d7
19,235,49,Jun 1,BOS,,KCR,"L,11-13",6-7,,0,1.1,1,0,0,0,2,0,0,4.46,4,22,15,5,3,0,2,1,0,0,,2,1,0,0,0,4,0,0,0,0,0,0,1.25,0.036,1.76,0.03%,0.11, 6t 12- 2 out d2, 7t 3 out tie
20,236,51,Jun 3,BOS,@,PHI,"L,3-9",GS-5,L(1-4),1,4.2,7,6,4,4,2,1,1,4.79,28,96,57,18,6,8,13,5,2,0,28,,,2,0,0,21,2,0,1,0,1,1,.90,-0.267,1.22,-0.22%,-4.01, 1b start tie, 5b 123 2 out d5
21,237,53,Jun 5,BOS,@,FLA,"W,3-2",7-8,W(2-4),1,2.0,1,0,0,1,1,0,0,4.59,7,24,15,6,3,1,4,1,1,0,,0,0,1,0,0,6,0,0,0,1,0,0,1.41,0.155,1.93,0.13%,1.05, 7b --- 0 out d1, 8b 3 out tie
