Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,38,27,May 27,BOS,@,CAL,"W,12-1",GS-7,W(1-0),99,7.0,5,1,1,2,4,0,0,1.29,26,90,52,17,4,8,12,5,0,0,65,,,0,0,0,24,1,0,0,2,0,0,.79,0.201,1.11,0.17%,2.95, 1b start a 2, 7b 3 out a9
2,39,30,May 30,BOS,@,OAK,"W,1-0",GS-8,W(2-0),2,7.1,2,0,0,1,4,0,0,0.63,24,88,60,16,11,13,6,1,3,0,77,,,0,1,0,23,0,0,0,0,0,0,1.01,0.485,1.37,0.40%,3.60, 1b start tie, 8b 1-- 1 out a1
Jun,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
3,40,34,Jun 4,BOS,,SEA,"W,2-1",CG(10),W(3-0),4,10.0,6,1,0,2,5,0,1,0.37,38,135,86,26,9,14,16,6,7,0,81,,,0,0,1,34,0,0,0,0,0,0,1.57,0.474,1.99,0.36%,4.86, 1t start tie,10t 3 out d1
4,41,39,Jun 9,BOS,,OAK,"W,4-1",CG,W(4-0),4,9.0,3,1,1,2,5,0,1,0.54,33,113,74,17,11,11,14,4,2,0,80,,,0,0,0,30,1,0,0,0,0,0,.79,0.456,.91,0.31%,4.27, 1t start tie, 9t 3 out a3
5,42,44,Jun 14,BOS,@,TOR,"L,3-5",GS-8,L(4-1),4,7.0,8,5,3,3,5,0,0,1.12,33,112,70,19,17,7,18,8,4,0,47,,,1,0,0,29,3,1,0,0,1,1,.55,-0.198,.73,-0.16%,-1.45, 1b start tie, 8b 1-- 0 out d2
6,43,48,Jun 19,BOS,@,CLE,"L,3-4",GS-5,,4,5.0,8,3,3,2,3,2,0,1.59,25,,,,,10,9,4,2,1,40,,,2,0,0,22,1,0,0,0,1,0,1.33,-0.036,1.73,-0.03%,-0.13, 1b start tie, 5b 3 out tie
7,44,53,Jun 24,BOS,@,BAL,"W,6-5",GS-7,,4,7.0,5,4,2,3,4,1,0,1.72,29,99,66,14,6,13,9,7,0,0,56,,,0,0,0,25,0,0,0,0,0,0,1.25,-0.177,1.93,-0.16%,0.06, 1b start tie, 7b 3 out d1
8,45,58,Jun 29,BOS,,DET,"W,7-1",CG,W(5-1),4,9.0,8,1,1,1,5,1,0,1.61,33,111,75,22,8,10,17,6,3,0,71,,,0,1,0,32,2,1,0,1,0,0,1.09,0.526,1.90,0.55%,4.27, 1t start tie, 9t 3 out a6
Jul,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
9,46,63,Jul 4,BOS,@,KCR,"W,6-5",GS-9,W(6-1),4,8.0,10,4,3,2,4,3,0,1.82,35,115,71,17,10,11,18,5,2,0,50,,,1,0,0,32,0,1,0,0,0,0,1.21,0.293,1.80,0.26%,1.20, 1b start a 1, 9b 1-- 0 out a3
10,47,68,Jul 9,BOS,@,MIN,"W,7-0",SHO,W(7-1),4,9.0,4,0,0,4,3,0,0,1.61,32,,,,,13,12,3,5,0,78,,,0,0,0,28,0,0,0,3,0,0,.63,0.337,.95,0.30%,5.17, 1b start tie, 9b 3 out a7
11,48,70,Jul 14,BOS,,TEX,"W,5-2",GS-7,W(8-1),4,6.1,9,2,2,4,7,1,0,1.70,30,131,86,23,15,5,14,8,2,0,50,,,0,1,0,26,2,0,0,1,0,0,1.07,0.216,1.71,0.21%,1.50, 1t start tie, 7t 1-- 1 out a3
12,49,75,Jul 19,BOS,@,CHW,"W,5-3",GS-8,W(9-1),4,7.1,5,1,1,0,6,0,1,1.66,28,106,74,19,7,8,13,6,3,0,70,,,0,0,0,27,0,0,0,1,0,1,.97,0.334,1.48,0.31%,3.42, 1b start tie, 8b 12- 1 out a3
13,50,80,Jul 24,BOS,,MIN,"W,4-1",GS-8,W(10-1),4,7.1,7,1,1,1,7,0,1,1.63,30,112,72,23,12,6,15,5,4,0,66,,,1,2,1,28,1,1,0,0,0,1,1.13,0.344,1.72,0.31%,2.69, 1t start tie, 8t 12- 1 out a3
14,51,85,Jul 29,BOS,@,TEX,"W,7-1",CG,W(11-1),4,9.0,6,1,1,3,7,0,0,1.58,35,132,79,25,9,6,19,6,2,0,75,,,0,1,0,32,2,0,0,1,0,0,.91,0.252,1.51,0.25%,4.27, 1b start a 1, 9b 3 out a6
Aug,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
15,52,89,Aug 3,BOS,@,DET,"W,10-2",GS-6,W(12-1),4,5.1,4,2,2,1,2,2,0,1.66,20,74,46,9,9,6,11,5,1,0,53,,,0,0,0,19,1,0,0,1,0,0,.66,0.146,1.02,0.14%,1.11, 1b start a 3, 6b --- 1 out a4
16,53,94,Aug 8,BOS,,CLE,"W,5-1",CG,W(13-1),4,9.0,6,1,1,1,4,1,0,1.61,33,106,71,17,8,8,20,8,6,0,74,,,0,0,0,32,0,0,0,0,0,0,1.12,0.448,.95,0.23%,4.27, 1t start tie, 9t 3 out a4
17,54,99,Aug 13,BOS,,BAL,"W,3-2",GS-9,W(14-1),4,8.1,2,2,2,5,4,1,0,1.65,31,125,67,21,6,7,15,5,3,0,70,,,0,0,0,26,0,1,0,1,0,0,1.23,0.014,.31,0.00%,1.61, 1t start tie, 9t 123 1 out a1
18,55,104,Aug 18,BOS,@,SEA,"L,3-9",GS-3,L(14-2),4,3.0,4,7,7,4,3,2,0,2.08,17,76,36,12,4,4,6,2,0,0,22,,,0,0,0,13,1,0,0,0,0,0,.87,-0.368,.08,-0.02%,-5.28, 1b start tie, 3b 3 out d6
19,56,109,Aug 23,BOS,@,CAL,"W,6-5",GS-7,,4,7.0,8,5,5,6,4,3,2,2.30,36,132,73,21,7,7,17,7,2,0,39,,,0,0,0,28,1,0,0,0,0,0,1.20,-0.111,.01,0.00%,-1.05, 1b start a 3, 7b 3 out tie
20,57,114,Aug 29,BOS,,SEA,"L,4-6",GS-7,L(14-3),5,6.0,8,5,5,4,3,1,0,2.51,28,116,66,14,10,6,15,7,1,0,35,,,0,0,1,23,1,0,0,1,1,0,1.12,-0.249,.00,0.00%,-1.51, 1t start tie, 7t 12- 0 out tie
