Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,512,5,Apr 4,BOS,@,TOR,"L,3-6",GS-6,,99,6.0,6,3,3,3,4,1,1,4.50,27,88,52,18,4,10,9,3,1,0,49,,,2,0,0,23,0,0,0,1,0,0,.98,-0.033,1.16,-0.02%,0.11, 1b start tie, 6b 3 out d3
2,513,10,Apr 10,BOS,,DET,"W,12-6",GS-5,W(1-0),5,5.0,3,2,1,5,5,0,2,3.27,25,108,61,17,12,8,5,1,1,0,55,,,1,0,0,17,1,0,0,0,1,0,1.27,0.055,1.24,0.03%,0.86, 1t start tie, 5t 3 out a2
3,514,15,Apr 15,BOS,@,CLE,"W,5-3",GS-6,,4,6.0,7,2,2,4,4,0,0,3.18,27,106,66,27,7,8,11,6,0,0,50,,,3,1,1,23,0,0,0,1,0,1,1.41,0.026,1.53,0.02%,1.13, 1b start tie, 6b 3 out d1
4,515,20,Apr 20,BOS,,TEX,"W,6-5",GS-8,W(2-0),4,8.0,7,5,5,0,5,2,0,3.96,31,86,68,13,13,10,16,5,3,0,53,,,0,0,0,30,0,0,0,1,0,0,.64,-0.099,.78,-0.07%,-0.43, 1t start tie, 8t 3 out d3
5,516,25,Apr 25,BOS,@,TBR,"L,4-5",GS-6,,4,6.0,6,4,3,5,1,0,1,4.06,30,113,70,22,3,7,16,6,3,0,42,,,2,1,0,23,0,2,0,0,1,1,1.41,-0.115,1.96,-0.10%,-0.77, 1b start tie, 6b 3 out tie
May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
6,517,30,May 1,BOS,,TOR,"L,0-3",GS-7,L(2-1),5,7.0,6,3,3,4,0,1,2,4.03,31,97,56,15,2,9,16,3,2,0,49,,,2,0,0,24,1,0,0,1,1,0,1.05,0.032,1.39,0.03%,1.00, 1t start tie, 7t 3 out d3
7,518,35,May 6,BOS,@,DET,"W,5-0",GS-8,W(3-1),4,8.0,2,0,0,0,6,0,0,3.33,27,98,65,25,6,8,13,3,2,0,84,,,0,0,0,27,1,0,0,0,0,1,.58,0.362,.77,0.29%,4.36, 1b start tie, 8b 3 out a5
8,519,40,May 11,BOS,@,MIN,"L,8-9",GS-3,L(3-2),4,2.2,7,7,6,2,2,2,0,4.25,17,74,42,7,6,5,8,2,0,0,18,,,1,0,0,15,1,0,0,0,0,0,.58,-0.366,.78,-0.30%,-5.70, 1b start tie, 3b 1-- 2 out d6
9,520,45,May 17(2),BOS,,MIL,"W,7-6",GS-6,,5,5.1,6,3,3,3,5,1,1,4.33,25,108,67,18,11,5,11,2,3,0,46,,,2,0,0,21,1,0,0,0,0,0,.93,0.167,1.20,0.13%,1.45, 1t start tie, 6t 12- 1 out a4
10,521,51,May 23,BOS,@,OAK,"L,3-8",GS-6,L(3-3),5,5.0,8,8,8,4,4,2,0,5.19,27,99,58,22,8,3,16,8,2,0,19,,,0,0,0,23,2,0,0,0,0,0,.42,-0.337,.58,-0.28%,-5.98, 1b start tie, 6b -23 0 out d5
11,522,56,May 28,BOS,@,SEA,"L,0-1",CG(8),L(3-4),4,8.0,5,1,1,0,8,1,0,4.70,29,96,63,17,12,8,13,5,4,0,76,,,1,1,0,29,1,0,0,0,0,0,.73,0.252,1.01,0.21%,3.10, 1b start tie, 8b 3 out d1
Jun,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
12,523,60,Jun 2,BOS,@,BAL,"L,3-6",GS-7,,4,7.0,5,2,2,4,3,0,0,4.50,28,109,69,25,8,8,13,3,1,0,58,,,2,1,0,24,1,0,0,0,0,0,.95,0.152,1.44,0.14%,1.77, 1b start tie, 7b 3 out tie
13,524,65,Jun 7,BOS,,SEA,"W,11-3",GS-7,W(4-4),4,7.0,5,2,2,2,6,0,0,4.33,27,106,71,17,12,9,10,3,4,0,63,,,1,0,0,25,1,0,0,1,0,0,1.11,0.177,1.57,0.15%,2.00, 1t start tie, 7t 3 out a4
14,525,71,Jun 14,BOS,@,CIN,"W,6-4",GS-7,,6,7.0,4,2,2,2,6,2,0,4.19,25,89,64,22,7,7,10,1,2,0,65,,,1,1,0,23,0,0,0,1,0,0,1.07,0.234,1.43,0.19%,1.64, 1b start a 1, 7b 3 out a1
