Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,542,4,Apr 10,BOS,@,LAA,"L,3-6",GS-6,L(0-1),99,6.0,6,3,3,5,4,0,1,4.50,29,99,52,21,6,8,11,2,4,0,47,,,3,0,0,23,1,0,0,1,0,0,.95,-0.047,.96,-0.03%,0.22, 1b start tie, 6b 3 out d2
2,543,9,Apr 15,BOS,@,OAK,"W,8-2",CG,W(1-1),4,9.0,4,2,2,2,4,0,0,3.00,34,111,76,26,9,10,18,6,1,0,73,,,0,0,0,32,1,0,0,0,0,1,.66,0.458,.51,0.21%,2.78, 1b start tie, 9b 3 out a6
3,544,14,Apr 22(1),BOS,,MIN,"W,10-1",CG(7),W(2-1),6,7.0,5,1,1,1,4,0,2,2.45,30,102,63,17,5,7,16,2,7,0,66,,,0,0,0,27,3,0,0,1,0,1,.69,0.207,.74,0.13%,2.98, 1t start tie, 7t 3 out a5
4,545,19,Apr 27,BOS,@,CLE,"W,3-1",GS-7,,4,7.0,1,0,0,4,5,0,1,1.86,27,112,63,19,6,5,12,5,4,0,76,,,2,0,0,22,0,0,0,0,0,0,1.29,0.448,1.64,0.34%,3.61, 1b start tie, 7b 3 out tie
May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
5,546,24,May 2,BOS,@,TBR,"W,10-6",GS-6,W(3-1),4,5.0,7,5,5,2,5,1,1,2.91,25,101,55,17,13,7,10,8,2,0,36,,,1,0,0,22,2,0,0,0,0,0,.93,-0.244,1.23,-0.20%,-2.73, 1b start a 2, 6b 1-- 0 out a3
6,547,29,May 7,BOS,,CLE,"W,13-3",GS-6,W(4-1),4,6.0,4,2,2,4,3,0,2,2.93,26,101,61,22,6,8,9,4,0,0,55,,,1,0,0,19,1,0,0,2,1,0,1.32,0.091,1.72,0.07%,1.42, 1t start tie, 6t 3 out d1
7,548,34,May 13,BOS,@,LAA,"L,4-8",GS-5,L(4-2),5,4.2,11,7,7,3,2,2,1,4.03,29,91,56,23,3,11,12,1,2,0,13,,,1,0,0,25,0,0,0,0,0,0,1.13,-0.488,1.48,-0.38%,-4.77, 1b start a 2, 5b 12- 2 out d3
8,549,39,May 19,BOS,,TOR,"W,2-1",GS-8,W(5-2),5,8.0,5,1,1,2,3,1,0,3.59,31,97,61,16,4,6,20,2,9,0,69,,,0,1,0,29,0,0,0,0,0,1,1.46,0.496,2.27,0.46%,3.55, 1t start tie, 8t 3 out a1
9,550,44,May 24,BOS,,NYM,"W,12-5",GS-6,W(6-2),4,6.0,7,5,5,4,3,1,0,3.99,28,94,59,21,6,11,10,3,2,0,37,,,1,0,0,23,0,0,0,1,0,0,1.23,-0.176,1.53,-0.13%,-1.59, 1t start tie, 6t 3 out a1
10,551,49,May 29,BOS,@,TOR,"L,3-6",GS-5,L(6-3),4,4.2,9,6,6,4,5,0,1,4.55,28,101,63,20,9,7,11,3,1,0,23,,,1,0,0,23,4,0,0,1,0,1,1.41,-0.386,2.40,-0.39%,-3.67, 1b start tie, 5b --3 2 out d4
Jun,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
11,552,54,Jun 4,BOS,@,DET,"W,6-3",GS-7,W(7-3),5,6.2,8,3,3,0,3,0,0,4.50,25,81,59,15,7,9,13,7,0,0,49,,,0,1,0,25,2,0,0,2,0,0,.93,0.068,1.40,0.06%,0.50, 1b start tie, 7b -2- 2 out a3
12,553,59,Jun 10,BOS,,NYY,"W,6-5",GS-6,W(8-3),5,6.0,8,3,3,3,2,1,0,4.50,28,88,52,18,4,7,16,5,2,0,43,,,0,0,0,25,3,0,0,0,0,0,1.11,0.084,2.03,0.09%,0.42, 1t start tie, 6t 3 out a3
13,554,64,Jun 16,BOS,,FLA,"W,8-2",GS-6,W(9-3),5,6.0,6,2,2,1,4,0,0,4.39,23,93,56,17,3,8,10,3,3,0,55,,,1,0,0,22,3,0,0,1,0,0,.75,0.139,1.03,0.11%,1.42, 1t start tie, 6t 3 out a6
14,555,69,Jun 21,BOS,,ATL,"W,6-5",GS-7,,4,6.2,9,4,4,0,2,0,0,4.47,27,83,63,20,2,11,14,5,1,0,42,,,0,0,0,27,2,0,0,2,0,0,1.34,0.075,1.91,0.06%,0.51, 1t start tie, 7t 12- 2 out a1
15,556,74,Jun 27,BOS,@,ATL,"W,1-0",GS-6,W(10-3),5,6.0,3,0,0,1,1,0,0,4.18,22,88,59,20,3,9,11,2,2,0,66,,,2,0,0,20,0,0,0,0,0,0,1.11,0.366,1.47,0.29%,2.96, 1b start tie, 6b 3 out a1
Jul,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
16,557,79,Jul 3,BOS,,SEA,"L,6-7",GS-8,,5,8.0,10,5,5,0,3,2,0,4.30,34,112,81,15,11,8,23,7,5,0,45,,,1,0,0,34,5,0,0,0,0,0,.91,-0.176,1.22,-0.14%,-0.45, 1t start tie, 8t 3 out d2
17,558,84,Jul 8,BOS,,OAK,"W,5-4",GS-7,W(11-3),4,6.0,10,3,3,1,8,0,0,4.31,28,100,72,19,14,9,10,4,3,0,47,,,0,0,0,27,3,0,0,0,0,0,1.13,0.113,1.65,0.10%,1.40, 1t start tie, 7t 12- 0 out a3
Aug,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
18,559,126,Aug 26,BOS,,CHW,"W,3-2",GS-7,,48,7.0,6,1,1,1,3,0,0,4.12,27,94,73,17,12,11,12,1,7,0,63,,,1,0,0,26,1,1,0,1,0,0,1.27,0.376,2.64,0.47%,2.98, 1t start tie, 7t 3 out a1
Sept,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
19,560,135,Sep 5,BOS,@,CHW,"L,1-5",GS-6,L(11-4),9,6.0,6,4,4,3,4,1,0,4.22,26,93,56,16,9,3,16,3,3,0,45,,,3,1,0,22,0,0,0,0,0,0,.64,-0.132,1.25,-0.15%,-0.59, 1b start tie, 6b 3 out d4
20,561,149,Sep 21,BOS,@,KCR,"L,9-12",GS-5,,15,5.0,5,5,4,7,2,1,0,4.33,26,103,59,19,4,5,12,4,3,0,34,,,5,0,0,19,0,0,0,1,0,0,.83,-0.010,.08,0.00%,-2.37, 1b start tie, 5b 3 out a3
21,562,158,Sep 30,BOS,,TOR,"L,0-12",GS-3,L(11-5),8,3.0,7,5,5,2,2,2,1,4.58,19,76,48,17,7,5,9,3,1,0,25,,,0,0,0,15,1,0,0,0,0,0,.92,-0.269,.00,0.00%,-3.29, 1t start tie, 3t 3 out d5
,,,,,,,14-7,,W-L:11-5,5.0,129.2,137,67,66,50,72,12,10,4.58,572,2020,64%,20%,7%,0.60,,18%,14%,0,48,,---%,23,3,0,507,32,1,0,13,1,4,1.05,0.993,1.40,0.98%,5.29,,
