Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,168,3,Apr 8,BOS,@,KCR,"W,4-1",GS-7,W(1-0),99,6.1,3,1,1,4,4,0,0,1.42,25,84,49,11,7,7,10,3,2,0,63,,,2,0,0,21,0,0,0,0,0,0,1.24,0.234,1.36,0.15%,2.16, 1b start a 1, 7b 12- 1 out a1
2,169,9,Apr 16,BOS,,TBD,"L,2-6",GS-4,L(1-1),7,3.0,6,3,3,2,3,0,0,3.86,17,52,35,8,6,5,7,5,1,0,36,,,0,0,0,15,3,0,0,0,0,0,.98,-0.215,1.24,-0.16%,-3.01, 1t start tie, 4t 123 0 out d3
3,170,14,Apr 21,BOS,@,DET,"L,2-9",GS-4,L(1-2),4,3.2,8,5,5,1,1,2,0,6.23,19,70,48,11,6,3,14,6,5,0,25,,,1,1,0,18,2,0,0,0,0,1,.82,-0.254,.95,-0.18%,-3.32, 1b start tie, 4b -23 2 out d4
4,171,19,Apr 26,BOS,@,MIN,"L,2-6",GS-6,L(1-3),4,5.1,5,6,6,4,4,1,0,7.36,25,57,37,4,11,6,11,3,3,0,34,,,1,0,0,21,2,0,0,0,0,0,1.11,-0.188,1.18,-0.12%,-1.64, 1b start a 1, 6b 1-3 1 out d3
May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
5,172,24,May 2,BOS,@,OAK,"L,5-7",GS-4,,5,3.0,6,4,4,5,1,0,0,8.02,19,69,36,14,4,6,7,3,2,0,27,,,0,0,0,13,2,0,0,0,1,0,1.18,-0.304,1.24,-0.19%,-3.35, 1b start a 2, 4b 12- 0 out d2
6,173,27,May 6,BOS,,TEX,"W,3-2",9-GF,S(1),3,0.2,0,0,0,0,0,0,0,7.77,2,7,4,1,1,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,3.99,0.240,3.69,0.13%,0.77, 9t -2- 1 out a1, 9t end a 1
7,174,28,May 7,BOS,,ANA,"W,6-0",9-GF,,0,1.0,0,0,0,0,2,0,0,7.43,4,14,10,3,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.06,0.004,.06,0.00%,0.61, 9t --- 0 out a6, 9t end a 6
8,175,30,May 9,BOS,,ANA,"W,4-2",9-GF,S(2),1,1.0,1,0,0,1,1,0,0,7.13,5,17,10,4,2,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.80,0.090,1.93,0.06%,0.61, 9t --- 0 out a2, 9t end a 2
9,176,32,May 11,BOS,,SEA,"L,5-8",GS-6,L(1-4),1,5.0,9,4,4,3,2,2,0,7.14,25,88,52,10,7,10,10,5,2,0,32,,,1,1,0,22,2,0,0,0,0,0,1.07,-0.123,1.23,-0.09%,-0.78, 1t start tie, 6t 123 0 out tie
10,177,37,May 17,BOS,@,TOR,"W,8-7",GS-5,,5,5.0,7,3,3,4,2,0,1,6.88,25,107,62,20,8,8,10,4,1,0,39,,,3,1,0,20,3,0,0,1,0,0,1.42,-0.060,2.04,-0.05%,-0.05, 1b start a 2, 5b 3 out d1
11,178,42,May 22,BOS,,TOR,"W,6-4",GS-9,W(2-4),4,8.1,4,3,2,3,7,0,1,5.95,32,122,82,24,14,11,10,2,4,0,69,,,1,0,0,28,1,0,0,0,0,1,.65,0.254,.98,0.23%,3.50, 1t start tie, 9t 12- 1 out a5
12,179,47,May 28,BOS,@,CLE,"W,12-5",GS-5,W(3-4),5,5.0,9,5,5,3,1,0,0,6.27,26,94,60,21,3,9,13,6,4,0,27,,,2,1,0,22,2,0,0,0,1,0,.91,-0.101,1.28,-0.09%,-1.96, 1b start tie, 5b 3 out a6
