Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,358,2,Apr 1,BOS,@,TBD,"W,9-8",GS-5,,99,5.0,5,5,5,3,6,1,0,9.00,25,92,59,23,11,7,9,1,3,0,40,,,1,0,0,22,1,0,0,0,0,1,1.06,-0.283,1.13,-0.18%,-2.41, 1b start tie, 5b 3 out a1
2,359,7,Apr 6,BOS,@,BAL,"W,12-2",GS-6,W(1-0),4,6.0,4,2,2,3,3,1,1,5.73,25,100,68,19,10,10,8,1,2,0,56,,,0,0,0,21,1,0,0,1,0,0,.76,0.147,.93,0.11%,1.24, 1b start a 1, 6b 3 out a8
3,360,12,Apr 13,BOS,,BAL,"W,2-0",8-GF,S(1),6,2.0,1,0,0,1,1,0,0,4.85,8,40,25,7,2,3,3,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,2.37,0.168,2.75,0.12%,1.15, 8t --- 0 out a2, 9t end a 2
4,361,16,Apr 18,BOS,,TOR,"W,7-3",GS-7,W(2-0),4,7.0,7,3,2,3,6,0,1,4.05,30,106,65,22,9,5,15,7,1,0,56,,,0,0,0,26,1,0,0,2,0,0,.91,0.048,1.17,0.04%,1.01, 1t start tie, 7t 3 out d1
5,362,21,Apr 23,BOS,@,TEX,"L,1-6",GS-6,L(2-1),4,5.1,7,4,4,3,5,1,1,4.62,24,90,53,17,8,6,9,3,2,0,40,,,0,2,0,20,1,0,0,0,0,0,1.04,-0.136,1.30,-0.10%,-1.06, 1b start tie, 6b 123 1 out d2
6,363,26,Apr 29,BOS,,KCR,"W,7-2",GS-6,W(3-1),5,6.0,7,2,2,1,6,2,1,4.31,26,106,69,20,12,7,11,2,2,0,55,,,0,1,0,23,3,0,0,0,0,0,.93,0.101,1.18,0.08%,1.44, 1t start tie, 6t 3 out d1
May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
7,364,31,May 4,BOS,,MIN,"L,4-9",GS-6,,4,5.2,8,4,4,3,4,0,0,4.62,26,86,57,16,12,4,15,4,3,0,38,,,0,2,0,22,3,1,0,0,1,0,1.01,-0.167,1.32,-0.13%,-1.11, 1t start tie, 6t 1-3 2 out tie
8,365,33,May 6,BOS,@,KCR,"W,7-3",9-GF,,1,1.0,1,0,0,0,0,0,0,4.50,4,19,14,5,0,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.60,0.023,.77,0.02%,0.58, 9b --- 0 out a4, 9b end a 4
9,366,36,May 10,BOS,@,MIN,"W,6-5",GS-7,W(4-1),3,7.0,7,4,4,2,6,2,0,4.60,30,99,68,20,12,10,12,1,0,0,51,,,0,0,0,28,0,1,0,0,0,0,1.08,-0.126,1.50,-0.11%,-0.15, 1b start a 2, 7b 3 out tie
