Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,595,1,Apr 1,BOS,@,TEX,"L,5-9",8-GF(8),,99,0.1,0,0,0,1,0,0,0,0.00,2,7,3,1,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.06,0.003,.06,0.00%,0.34, 8b -2- 2 out d4, 8b end d 4
2,596,2,Apr 2,BOS,@,TEX,"L,5-12",5-6,,0,1.2,1,1,1,0,0,1,0,4.50,6,16,13,1,2,1,5,0,1,0,,2,0,0,0,0,6,0,0,0,0,0,0,.02,0.001,.02,0.00%,0.51, 5b 12- 1 out d8, 6b 3 out d9
3,597,5,Apr 6,BOS,@,CLE,"L,4-8",7-GF(8),,3,2.0,1,1,1,0,2,1,0,4.50,7,18,14,5,3,2,3,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.09,-0.001,.07,0.00%,-0.06, 7b --- 0 out d3, 8b end d 4
4,598,8,Apr 9,BOS,,NYY,"L,4-9",8-GF,,2,2.0,0,0,0,0,1,0,0,3.00,6,27,20,5,3,3,2,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.04,0.006,.04,0.00%,1.05, 8t --- 0 out d5, 9t end d 5
5,599,10,Apr 11,BOS,,TBR,"L,5-16",3-6,,1,3.1,6,5,4,1,0,0,0,5.79,16,64,42,11,6,5,10,3,1,0,,2,0,0,0,1,15,3,1,0,1,0,1,.13,-0.020,.11,-0.01%,-2.59, 3t 12- 0 out d7, 6t -2- 1 out d10
6,600,15,Apr 18,BOS,,TOR,"W,9-1",9-GF,,6,1.0,1,1,1,0,0,1,0,6.10,4,13,9,4,0,0,4,0,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,-0.47, 9t --- 0 out a9, 9t end a 8
7,601,23,Apr 27,BOS,@,BAL,"L,4-5",7-7,,8,1.0,0,0,0,0,1,0,0,5.56,3,13,10,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,.09,0.00%,0.51, 7b --- 0 out d4, 7b 3 out d4
May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
8,602,27,May 1,BOS,,SEA,"W,3-2",GS-6,,3,5.2,3,1,1,1,3,0,0,4.24,21,76,53,19,5,9,8,2,1,0,61,,,0,1,0,20,1,0,0,0,0,1,.92,0.313,.75,0.15%,2.92, 1t start tie, 6t 1-- 2 out a2
9,603,30,May 4,BOS,,LAA,"L,3-5",9-9,,2,0.2,0,0,0,1,0,0,0,4.08,3,12,5,2,1,0,2,0,0,0,,2,1,0,0,0,1,0,0,0,0,1,0,1.25,-0.019,1.28,-0.01%,0.21, 9t 1-3 1 out d1, 9t 3 out d2
10,604,32,May 6,BOS,,MIN,"L,2-9",GS-5,L(0-1),1,4.1,9,8,6,4,1,1,0,5.73,24,84,52,13,9,7,12,6,2,0,14,,,0,0,0,20,1,0,0,2,0,0,1.09,-0.379,.86,-0.18%,-4.80, 1t start tie, 5t -23 1 out d4
11,605,37,May 11,BOS,@,TOR,"L,3-9",7-GF(8),,4,1.1,3,0,0,0,3,0,0,5.40,7,32,25,7,5,2,2,1,0,0,,2,2,0,0,0,7,1,0,0,0,0,0,.05,-0.020,.05,-0.01%,-0.86, 7b -23 2 out d4, 8b end d 6
12,606,46,May 22,BOS,,CHC,"W,5-1",GS-7,W(1-1),10,6.2,4,1,1,0,3,0,0,4.50,24,75,55,12,6,11,10,2,3,0,65,,,0,0,0,24,2,0,0,1,0,0,.96,0.281,1.21,0.21%,2.36, 1t start tie, 7t -2- 2 out a2
