Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,65,3,Apr 4,BOS,@,TEX,"L,2-13",GS-5,L(0-1),99,4.2,9,7,5,5,4,0,0,9.64,28,,,,,5,14,8,0,0,21,,,2,0,0,20,0,0,0,0,2,1,.88,-0.233,.78,-0.12%,-2.34, 1b start tie, 5b 12- 2 out d4
2,66,12,Apr 15,BOS,,CLE,"L,0-8",GS-6,L(0-2),10,6.0,9,8,5,2,3,0,0,8.44,30,109,68,16,8,9,16,6,3,0,29,,,1,0,0,27,1,0,0,0,1,1,.63,-0.285,.38,-0.10%,-4.35, 1t start tie, 6t 3 out d8
3,67,17,Apr 20,BOS,@,CLE,"L,1-2",GS-8,L(0-3),4,7.0,5,2,2,3,5,0,0,6.11,30,110,66,15,11,6,16,4,2,0,61,,,2,0,0,27,1,0,0,0,0,1,.90,0.090,.45,0.03%,1.15, 1b start tie, 8b 12- 0 out d1
4,68,22,Apr 25,BOS,,TEX,"W,8-3",GS-7,W(1-3),4,6.0,7,3,3,2,6,2,0,5.70,27,99,70,20,12,5,14,3,4,0,50,,,1,0,0,25,2,0,0,1,0,1,1.04,0.080,.47,0.02%,0.62, 1t start tie, 7t 12- 0 out a5
5,69,26,Apr 30,BOS,,DET,"W,13-4",GS-5,W(2-3),4,5.0,6,4,4,3,5,2,0,5.97,24,94,55,17,12,4,12,5,1,0,41,,,0,0,0,21,1,0,0,0,0,0,1.02,-0.054,.40,-0.01%,-0.96, 1t start tie, 5t 3 out a2
May,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
6,70,30,May 5,BOS,,TOR,"L,4-11",GS-6,L(2-4),4,5.2,10,11,1,5,6,1,0,5.24,33,131,80,26,13,6,16,7,3,0,26,,,0,0,0,28,2,0,0,0,0,1,.99,-0.517,.57,-0.18%,-5.92, 1t start tie, 6t 1-3 2 out d6
7,71,34,May 11,BOS,@,TOR,"L,8-9",GS-7,,5,6.1,6,7,4,5,8,0,1,5.31,32,113,67,22,14,6,12,3,1,0,42,,,2,0,0,25,2,0,0,1,1,0,1.46,-0.355,.90,-0.13%,-2.50, 1b start tie, 7b 123 1 out a2
8,72,38,May 17,BOS,,OAK,"W,5-3",GS-7,,5,7.0,5,3,3,1,2,2,0,5.10,28,110,70,14,9,9,16,5,2,0,56,,,0,0,0,27,0,0,0,0,0,1,.82,0.118,.41,0.04%,1.25, 1t start tie, 7t 3 out d1
9,73,43,May 22,BOS,,SEA,"L,1-6",GS-6,L(2-5),4,6.0,9,6,6,3,4,2,1,5.53,29,108,64,19,6,10,11,6,0,0,31,,,3,0,0,25,0,0,0,2,0,0,.72,-0.179,.35,-0.05%,-2.35, 1t start tie, 6t 3 out d5
10,74,48,May 27,BOS,@,OAK,"W,10-3",CG,W(3-5),4,9.0,8,3,3,3,7,2,0,5.17,36,121,79,26,8,12,14,2,3,0,63,,,0,0,0,33,1,0,0,2,0,0,.46,0.106,.20,0.03%,2.47, 1b start tie, 9b 3 out a7
Jun,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
11,75,53,Jun 1,BOS,@,SEA,"W,6-5",GS-7,W(4-5),4,6.1,5,3,3,3,3,0,2,5.09,27,92,54,17,10,7,12,3,2,0,51,,,2,0,0,22,4,0,0,2,0,0,1.07,0.067,.41,0.02%,0.57, 1b start tie, 7b 1-- 1 out a3
12,76,58,Jun 7,BOS,,MIL,"W,10-7",GS-4,,5,3.2,11,7,7,1,1,1,0,5.70,21,77,50,11,2,7,12,6,0,0,11,,,0,0,0,20,2,0,0,1,0,0,.65,-0.322,.16,-0.05%,-4.06, 1t start tie, 4t 12- 2 out d5
13,77,61,Jun 10,BOS,@,CHW,"L,2-8",CG(8),L(4-6),2,8.0,16,8,6,3,0,1,0,5.80,43,158,103,27,10,15,25,10,5,0,19,,,2,0,0,40,2,0,0,0,0,0,.63,-0.344,.16,-0.05%,-3.42, 1b start a 1, 8b 3 out d6
14,78,66,Jun 15,BOS,,TEX,"L,3-13",GS-3,L(4-7),4,3.0,8,7,7,1,4,3,0,6.35,18,77,49,11,4,2,11,4,2,0,18,,,0,0,0,17,2,0,0,0,0,0,.61,-0.383,.19,-0.07%,-5.18, 1t start tie, 3t 3 out d6
15,79,72,Jun 22,BOS,@,TEX,"L,2-8",GS-6,L(4-8),6,5.1,6,8,5,4,4,1,1,6.47,27,113,64,20,7,7,11,6,2,0,30,,,2,0,0,22,1,1,0,1,0,1,1.24,-0.263,.18,-0.02%,-2.92, 1b start tie, 6b 123 1 out d3
