Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
18,114,95,Jul 18,BOS,@,CLE,"W,7-0",SHO,W(4-10),4,9.0,6,0,0,4,9,0,0,4.36,34,,,,,8,12,4,4,1,80,,,2,1,0,30,1,0,0,1,0,0,.89,0.355,.06,0.02%,5.14, 1b start a 1, 9b 3 out a7
19,115,100,Jul 23,BOS,,OAK,"L,2-5",GS-7,L(4-11),4,7.0,9,4,4,1,6,2,1,4.41,31,105,67,20,8,6,17,4,2,0,48,,,0,1,0,28,3,0,0,0,1,0,.91,-0.079,.11,-0.01%,-0.04, 1t start tie, 7t 3 out d3
20,116,103,Jul 25(2),BOS,,ANA,"L,5-8",8-GF,L(4-12),1,2.0,2,3,3,1,0,1,0,4.57,9,26,17,5,1,0,8,1,1,0,,0,0,0,0,0,7,0,1,1,0,1,0,2.11,-0.337,.16,-0.02%,-1.87, 8t --- 0 out tie, 9t end d 3
21,117,106,Jul 29,BOS,,SEA,"W,4-0",SHO,W(5-12),3,9.0,5,0,0,2,6,0,0,4.23,33,126,81,19,7,8,17,4,4,0,81,,,0,1,0,31,0,1,0,0,0,0,.81,0.427,.08,0.02%,5.09, 1t start tie, 9t 3 out a4
Aug,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
22,118,111,Aug 3,BOS,@,KCR,"L,2-5",CG(8),L(5-13),4,8.0,6,5,5,0,6,4,1,4.32,31,100,72,20,6,9,15,2,1,0,56,,,1,0,0,30,0,0,0,0,0,0,.92,-0.182,.07,-0.01%,-0.52, 1b start tie, 8b 3 out d3
23,119,114,Aug 6,BOS,@,MIN,"W,5-2",GS-7,W(6-13),2,7.0,7,2,2,0,7,0,0,4.23,28,111,76,20,17,4,17,8,3,0,62,,,0,0,0,28,1,0,0,0,0,0,.99,0.277,.05,0.01%,1.88, 1b start tie, 7b 3 out a3
24,120,119,Aug 11,BOS,,TEX,"L,3-8",GS-5,L(6-14),4,4.0,8,6,5,2,4,1,0,4.43,21,78,49,15,4,2,13,7,2,0,26,,,0,0,0,19,4,0,0,0,0,0,1.09,-0.450,.08,-0.02%,-5.24, 1t start tie, 5t -23 0 out d3
25,121,124,Aug 16,BOS,,MIN,"W,12-4",GS-6,W(7-14),4,5.1,8,4,1,1,4,0,1,4.33,28,119,80,20,14,12,10,3,2,0,45,,,1,0,0,26,0,0,0,1,0,2,1.15,-0.186,.02,0.00%,-1.58, 1t start tie, 6t 12- 1 out a1
26,122,126,Aug 20(1),BOS,@,OAK,"W,7-5",GS-5,W(8-14),3,5.0,8,5,5,2,4,1,1,4.48,23,92,56,22,9,4,12,4,3,0,33,,,1,1,1,19,3,0,0,1,1,0,.94,-0.169,.03,0.00%,-2.34, 1b start tie, 5b 3 out a2
27,123,131,Aug 24,BOS,@,ANA,"W,3-2",GS-9,W(9-14),3,8.0,4,2,2,3,4,1,0,4.37,31,120,74,26,9,8,16,7,4,0,67,,,1,0,0,28,0,0,0,0,0,0,1.20,0.292,.01,0.00%,2.13, 1b start tie, 9b 1-- 0 out a1
28,124,134,Aug 27,BOS,@,SEA,"W,9-5",7-8,H(1),2,1.2,0,0,0,4,2,0,0,4.32,9,39,21,8,5,0,3,0,2,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.84,0.096,.01,0.00%,0.63, 7b --- 0 out a2, 8b 12- 2 out a2
29,125,136,Aug 30,BOS,,ATL,"L,2-15",GS-4,L(9-15),2,3.2,8,7,7,2,2,2,0,4.61,21,,,,,3,8,1,1,6,17,,,0,0,0,19,1,1,0,0,0,0,.56,-0.308,.00,0.00%,-4.13, 1t start tie, 4t --3 2 out d6
30,126,137,Aug 31,BOS,,ATL,"L,3-7",6-7,,0,2.0,5,2,2,0,1,0,0,4.66,10,35,25,2,5,3,6,4,0,0,,0,0,0,0,0,9,0,0,0,0,1,0,.47,-0.060,.00,0.00%,-0.87, 6t --- 0 out d3, 7t 3 out d5
Sept,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
31,127,142,Sep 6,BOS,,MIL,"W,10-2",GS-8,W(10-15),5,8.0,7,2,2,4,4,0,0,4.55,32,128,83,29,12,11,13,6,2,0,60,,,0,0,0,28,3,0,1,3,0,0,.54,0.095,.00,0.00%,2.53, 1t start tie, 8t 3 out a7
32,128,147,Sep 13,BOS,@,MIL,"W,2-1",GS-8,W(11-15),6,7.1,4,1,1,5,4,0,1,4.42,29,117,71,25,8,10,9,4,3,0,65,,,0,2,0,22,1,0,0,1,0,0,1.22,0.440,.00,0.00%,3.18, 1b start tie, 8b --- 1 out a1
33,129,153,Sep 18,BOS,,TOR,"W,3-2",GS-9,,4,8.1,9,2,2,2,5,1,2,4.32,36,115,80,15,9,11,15,4,4,1,60,,,1,1,1,32,4,0,0,0,0,0,1.09,0.154,.00,0.00%,2.12, 1t start tie, 9t 12- 1 out d1
34,130,158,Sep 24,BOS,@,DET,"W,9-2",GS-8,W(12-15),5,7.0,4,2,2,4,7,1,0,4.26,29,111,68,16,13,13,5,0,1,0,64,,,1,0,0,25,1,0,0,0,0,0,.85,0.188,.00,0.00%,1.83, 1b start tie, 8b 12- 0 out a8
35,131,161,Sep 27,BOS,@,TOR,"L,5-12",2-4,,2,2.2,1,1,1,1,2,0,1,4.25,10,,,,,1,4,0,0,1,,1,1,0,1,0,5,0,0,0,0,2,0,1.32,0.006,.00,0.00%,0.08, 2b --3 1 out a2, 4b 3 out tie
,,,,,,,16-19,,"W-L:12-15,Hld:1",3.6,201.1,193,109,95,87,151,24,16,4.25,866,2442,63%,18%,9%,0.59,,20%,14%,38,50,1,100%,25,18,3,753,43,6,5,15,7,4,1.00,0.017,.24,-0.14%,6.36,,
